Image;Minimum;Maximum;Squared Dynamic Range;Mean;Standard Deviation;Variance;Skewness;Kurtosis;92.5 Percentile;85 Percentile;15 Percentile;7.5 Percentile;Interquartile Range;Median;Shannon Entropy;Bins Entropy;Normalized Energy;Root Mean Square;Mean Absolute Deviation;Robust Mean Absolute Deviaton;label
Img42;0;240;57600;63,0201049;73,49405057;5401,37547;0,655570476;1,865067485;192;160;0;0;128;16;2,881087653;2,881087653;9372,909091;96,81378564;66,26426095;49,89002037;0
Img43;0;240;57600;62,4138986;75,84854491;5753,001765;0,774687126;2,040100642;192;176;0;0;128;16;2,940361357;2,940361357;9648,496503;98,22676063;67,36814921;52,29928007;0
Img44;0;240;57600;64,3597028;77,60147869;6021,989495;0,774188044;2,075597913;208;176;0;0;128;16;2,96833514;2,96833514;10164,16084;100,817463;68,60409331;51,11999287;0
Img45;0;240;57600;53,06818182;62,33312465;3885,418428;0,665099698;1,861354791;160;144;0;0;112;16;2,765416423;2,765416423;6701,65035;81,86360821;56,30956473;48,29867514;0
Img46;0;240;57600;68,86013986;80,94426135;6551,973446;0,684164239;1,894822218;208;176;0;0;144;32;2,952997411;2,952997411;11293,69231;106,2717851;72,53719352;60,66055362;0
Img47;0;240;57600;60,35096154;69,74613738;4864,523679;0,646534236;1,867630665;176;160;0;0;128;32;2,845934394;2,845934394;8506,762238;92,23211067;62,75787186;52,12605456;0
Img48;0;240;57600;50,74562937;61,10165766;3733,412568;0,791129177;2,146612514;160;128;0;0;96;16;2,803190992;2,803190992;6308,531469;79,42626435;53,87772209;38,52083835;0
Img49;0;240;57600;66,64641608;76,74421674;5889,674804;0,634114024;1,866132784;192;176;0;0;128;32;2,91731274;2,91731274;10331,41958;101,6435909;69,37203691;55,71327091;0
Img50;0;240;57600;67,65734266;79,19292235;6271,51895;0,656607103;1,831107838;208;176;0;0;144;16;2,921693899;2,921693899;10849,03497;104,1587009;71,37017053;53,97350558;0
Img51;0;240;57600;64,33872378;74,45008621;5542,815336;0,632081673;1,836850471;192;160;0;0;128;32;2,900097412;2,900097412;9682,286713;98,39861134;67,47838676;50,994396;0
Img52;0;240;57600;63,32954545;73,37068069;5383,256784;0,657908512;1,917702739;192;160;0;0;128;16;2,897199062;2,897199062;9393,888112;96,92207237;66,05016601;49,50336538;0
Img53;0;240;57600;67,38286713;80,43715951;6470,13663;0,705472583;1,899774442;208;176;0;0;144;16;2,953834325;2,953834325;11010,58741;104,9313462;72,30879347;51,64768092;0
Img54;0;240;57600;68,84440559;79,59179237;6334,853413;0,59264826;1,726321317;208;176;0;0;144;16;2,904851608;2,904851608;11074,40559;105,2350018;72,86814128;56,84242926;0
Img55;0;240;57600;58,34746503;72,01971298;5186,839058;0,861137193;2,267308971;192;160;0;0;128;16;2,930230641;2,930230641;8591,265734;92,68908099;63,03076561;45,60883506;0
Img56;0;240;57600;65,88636364;79,49944599;6320,161912;0,750836658;1,988591289;208;176;0;0;144;16;2,943271057;2,943271057;10661,17483;103,2529652;70,8757959;50,41171861;0
Img57;0;240;57600;55,9173951;66,49375722;4421,41975;0,711751408;1,949831076;176;144;0;0;112;16;2,839786622;2,839786622;7548,174825;86,88023265;59,6674771;44,22658628;0
Img58;0;240;57600;64,50131119;76,35173769;5829,587848;0,695548695;1,929868063;192;176;0;0;128;16;2,939681755;2,939681755;9990,006993;99,95002248;68,57653969;53,96242758;0
Img59;0;240;57600;70,19711538;80,17442496;6427,938418;0,591257633;1,762850804;208;176;0;0;144;32;2,932041418;2,932041418;11355,57343;106,5625329;72,89083434;56,39567936;0
Img60;0;240;57600;65,19973776;76,63934108;5873,588601;0,666115999;1,840167609;192;176;0;0;144;32;2,90572623;2,90572623;10124,59441;100,6210436;69,12083281;56,80529159;0
Img61;0;240;57600;64,51136364;75,4414795;5691,416829;0,659657148;1,875164848;192;160;0;0;128;16;2,926492346;2,926492346;9853,132867;99,26294811;68,16112412;56,10924103;0
Img62;0;240;57600;66,25393357;78,81049809;6211,094609;0,703687145;1,91175817;208;176;0;0;144;16;2,945905212;2,945905212;10600,67832;102,9595956;70,76627627;52,89693792;0
Img63;0;240;57600;52,18050699;61,80738412;3820,152732;0,689238174;1,894475644;160;144;0;0;112;16;2,76694746;2,76694746;6542,958042;80,88855322;55,67540221;48,03025855;0
Img64;0;240;57600;64,55332168;77,62273018;6025,288241;0,749386291;2,005415725;208;176;0;0;128;16;2,942555894;2,942555894;10192,41958;100,9575137;69,12371212;51,58641975;0
Img65;0;240;57600;70,89466783;80,37287615;6459,79922;0,561107884;1,719842658;208;176;0;0;144;32;2,914877504;2,914877504;11485,85315;107,1720726;73,56197547;56,6394521;0
Img66;0;240;57600;69,02622378;80,00591769;6400,946865;0,613566091;1,760770286;208;176;0;0;144;16;2,907645528;2,907645528;11165,56643;105,6672439;72,7552439;55,659361;0
Img67;0;240;57600;70,26048951;80,0908268;6414,540537;0,585879024;1,772171849;208;176;0;0;144;32;2,916055366;2,916055366;11351,07692;106,5414329;73,01305601;55,34856247;0
Img68;0;240;57600;63,69711538;75,57323505;5711,313855;0,703466205;1,927108623;192;176;0;0;128;16;2,916642203;2,916642203;9768,636364;98,83641213;67,79928095;54,38484998;0
Img69;0;240;57600;73,12805944;82,61868047;6825,846363;0,55989493;1,718916021;208;192;0;0;144;32;2,928046222;2,928046222;12173,55944;110,3338545;75,30926976;64,61822376;0
Img70;0;240;57600;63,89903846;74,21446631;5507,78701;0,636678048;1,816172154;192;160;0;0;128;16;2,88950413;2,88950413;9590,874126;97,93300836;67,07742685;50,00434049;0
Img71;0;240;57600;68,03321678;80,7859921;6526,376519;0,712451745;1,943917464;208;176;0;0;144;16;2,965197211;2,965197211;11154,8951;105,6167369;72,26551593;59,14378029;0
Img72;0;240;57600;65,73732517;77,90613786;6069,366317;0,679472841;1,870906479;192;176;0;0;144;16;2,929168187;2,929168187;10390,76224;101,9350884;70,45403193;53,98501033;0
Img73;0;240;57600;58,43444056;72,27407579;5223,542031;0,8546409;2,232033037;192;160;0;0;128;16;2,92270132;2,92270132;8638,125874;92,94151857;63,4159257;44,18263141;0
Img74;0;240;57600;67,1368007;79,08276398;6254,083558;0,667831982;1,858707155;208;176;0;0;144;16;2,944136348;2,944136348;10761,43357;103,7373297;71,47088209;53,41506841;0
Img75;0;240;57600;69,62718531;79,79689578;6367,544576;0,619046108;1,836382075;208;176;0;0;144;32;2,940648562;2,940648562;11215,48951;105,9032082;72,23041314;55,43591125;0
Img76;0;240;57600;64,53409091;78,27721979;6127,323139;0,77036648;2,032230756;208;176;0;0;144;16;2,960151572;2,960151572;10291,97203;101,449357;69,50955268;51,44098273;0
Img77;0;240;57600;63,38854895;76,03916622;5781,954799;0,754853879;2,037974161;192;176;0;0;128;16;2,953383627;2,953383627;9800,062937;98,99526725;67,43081562;52,58213543;0
Img78;0;240;57600;66,16215035;78,53921964;6168,409022;0,698885887;1,905655498;208;176;0;0;144;16;2,928282068;2,928282068;10545,83916;102,6929363;70,55644939;52,65638517;0
Img79;0;240;57600;48,83129371;57,32395855;3286,036224;0,652466427;1,834208553;144;128;0;0;96;16;2,684199715;2,684199715;5670,531469;75,30293134;51,91361283;44,30790214;0
Img80;0;240;57600;73,37631119;82,59578566;6822,063809;0,537754541;1,67761982;208;192;0;0;144;32;2,912076542;2,912076542;12206,14685;110,4814322;75,67188835;65,85065214;0
